secs_elapsed,interval_qps
5,882263
10,694618
15,49674
20,563581
25,39714
30,371259
35,376662
40,228070
45,378850
50,39711
55,675648
60,39715
65,31573
70,467639
75,729894
80,39652
85,36836
90,39717
95,25930
100,337825
105,665458
110,154036
115,37969
120,39560
125,34541
130,31767
135,466251
140,632131
145,36786
150,37721
155,39560
160,26532
165,25413
170,493677
175,612362
180,38712
185,34569
190,39622
195,30488
200,31398
205,20594
210,582879
215,609996
220,39003
225,37011
230,39448
235,35842
240,35125
245,25420
250,85664
255,726274
260,378626
265,39612
270,36210
275,37254
280,38374
285,33317
290,31775
295,24434
300,20331
305,207064
310,483527
315,484684
320,38652
325,35140
330,39005
335,35114
340,38294
345,34077
350,33973
355,25412
360,24700
365,16355
370,222335
375,483309
380,423683
385,27642
390,37817
395,35962
400,34621
405,38017
410,34716
415,37988
420,30599
425,30353
430,20764
435,20331
440,18627
445,13012
450,13010
455,13007
460,13012
465,10975
470,10408
475,10406
480,10407
485,10407
490,10407
